pain_id,category,title,frequency,money_signal_score,fit_for_me_score,recency_score,example_phrase,quick_solution_1_2_days,suggested_price_range
P001,Bots_TG_WA_VK,"ищу техническийспец чатботИИ Команда онлайн-школы в поисках технического специалиста для создания чат-бота с ИИ,...",3,0.65,1.00,0.61,"ищу техническийспец чатботИИ Команда онлайн-школы в поисках технического специалиста для создания чат-бота с ИИ, для анализа информации В бота должны загрузить базу знаний + выс...","Мини-бот: меню/кнопки, прием заявок, уведомление админу, передача менеджеру (1-2 дня).",15 000-25 000 руб (+ поддержка 3 000-7 000 руб/мес)
P002,Landing_Sites,"ищу техспец wordpress сайт Всем привет! Ищу специалиста по WordPress, который сможет оперативно доработать...",1,0.50,1.00,0.75,"ищу техспец wordpress сайт Всем привет! Ищу специалиста по WordPress, который сможет оперативно доработать многостраничный сайт. Что уже есть: — сайт собран примерно на 70% (раб...",Лендинг: простая страница + форма/квиз + базовая аналитика + интеграция заявок в таблицу (1-2 дня).,15 000-30 000 руб
P003,Landing_Sites,ищу разработчиксайтов Всем привет. Ищу разработчика сайта на вордпресс для бронирования аппартаментов. Разрабатывать...,1,0.40,1.00,0.94,ищу разработчиксайтов Всем привет. Ищу разработчика сайта на вордпресс для бронирования аппартаментов. Разрабатывать будем на шаблоне. Нужно просто причесать под фирменный стиль...,Лендинг: простая страница + форма/квиз + базовая аналитика + интеграция заявок в таблицу (1-2 дня).,15 000-30 000 руб
P004,Bots_TG_WA_VK,ищу техспец телеграм бот Требуется тех.специалист для создания простого телеграм-бота для сбора базы и...,1,0.50,1.00,0.52,ищу техспец телеграм бот Требуется тех.специалист для создания простого телеграм-бота для сбора базы и продаж Задача: создать бота в ближайшие несколько часов Пришлите примеры р...,"Мини-бот: меню/кнопки, прием заявок, уведомление админу, передача менеджеру (1-2 дня).",15 000-25 000 руб (+ поддержка 3 000-7 000 руб/мес)
P005,Integrations_Sheets_CRM_n8n,"Азиз IT специалист, Разработчик Специализация: автоматизация, безопасность, парсинг, работа с API Что могу сделать...",1,0.30,1.00,0.91,"Азиз IT специалист, Разработчик Специализация: автоматизация, безопасность, парсинг, работа с API Что могу сделать для вас: Десктоп-программы под Windows: утилиты, боты, автомат...",Интеграция/n8n: заявки из формы/бота -> Sheets/CRM + уведомления + статусная таблица (1-2 дня).,12 000-30 000 руб
P006,Sales_CRM_Process,ищу продажи Всем привет ищу продажников в два проекта по продюсированию Средний чек 3-5к...,3,0.85,0.65,0.24,"ищу продажи Всем привет ищу продажников в два проекта по продюсированию Средний чек 3-5к Ниши — психология МЦА и саморазвитие ЖЦА По задачам: — звонить по тем, кто оставил заявк...",Быстрый комплект продаж: оффер + 2-3 скрипта + простая CRM/таблица + план касаний (1-2 дня).,12 000-25 000 руб
P007,Parsing_Analytics_Reports,"ПОДРАБОТКА В ТЕЛЕФОНЕ ДЛЯ ДЕВУШЕК 18+ ЧТО НУЖНО ДЕЛАТЬ 📲 ✔️ лайки, комментарии, опросы,...",1,0.25,1.00,0.98,"ПОДРАБОТКА В ТЕЛЕФОНЕ ДЛЯ ДЕВУШЕК 18+ ЧТО НУЖНО ДЕЛАТЬ 📲 ✔️ лайки, комментарии, опросы, отзывы - за все это сегодня платят! 📌 делай в свободное время 📌 без отчетов и сроков Пиши...",Парсинг/отчет: выгрузка данных -> Google Sheets + автообновление + 3-5 метрик (1-2 дня).,10 000-20 000 руб
P008,Bots_TG_WA_VK,ищу посевывк Ищем подрядчиков по посевам ВК Запускаем посевы в ВК и ведём трафик...,1,0.25,1.00,0.92,ищу посевывк Ищем подрядчиков по посевам ВК Запускаем посевы в ВК и ведём трафик в сообщество на бота. Ниша: видео поздравления из Африки. Те кто просто берут 2 креатива и всажи...,"Мини-бот: меню/кнопки, прием заявок, уведомление админу, передача менеджеру (1-2 дня).",15 000-25 000 руб (+ поддержка 3 000-7 000 руб/мес)
P009,Bots_TG_WA_VK,"ищу программист чат-бот Нужна разработка чат-бота в тг на python. Нужно реализовать продажу товаров,...",1,0.50,1.00,0.28,"ищу программист чат-бот Нужна разработка чат-бота в тг на python. Нужно реализовать продажу товаров, используя онлайн-кассу Юkassa. За подробностями - пиши в лс Нужен начинающий...","Мини-бот: меню/кнопки, прием заявок, уведомление админу, передача менеджеру (1-2 дня).",15 000-25 000 руб (+ поддержка 3 000-7 000 руб/мес)
P010,Parsing_Analytics_Reports,"Привет, меня зовут Никита, и я понимаю, насколько важно добиться успеха на Авито быстро...",1,0.25,1.00,0.88,"Привет, меня зовут Никита, и я понимаю, насколько важно добиться успеха на Авито быстро и качественно. Ведь ваша цель — не просто разместить объявление, а продать товар выгодно...",Парсинг/отчет: выгрузка данных -> Google Sheets + автообновление + 3-5 метрик (1-2 дня).,10 000-20 000 руб
P011,Bots_TG_WA_VK,"ищу специалист чат-бот Нужен специалист по настройке Salebot + Яндекс.Метрики Нужен технический специалист, который...",1,0.50,1.00,0.20,"ищу специалист чат-бот Нужен специалист по настройке Salebot + Яндекс.Метрики Нужен технический специалист, который настроит глубинные цели Salebot для Яндекс.Директ: Задачи: –...","Мини-бот: меню/кнопки, прием заявок, уведомление админу, передача менеджеру (1-2 дня).",15 000-25 000 руб (+ поддержка 3 000-7 000 руб/мес)
P012,Sales_CRM_Process,"Я СДЕЛАЛ РАБОТУ ЗА 1 МЛН РУБЛЕЙ ЗА ОДИН ВЕЧЕР. БЕСПЛАТНО. Ладно, чуть загнул,...",1,0.85,0.70,0.23,"Я СДЕЛАЛ РАБОТУ ЗА 1 МЛН РУБЛЕЙ ЗА ОДИН ВЕЧЕР. БЕСПЛАТНО. Ладно, чуть загнул, но внимание привлек 👌 Выше я говорил, что анализ ЦА и конкурентов - это фундамент. Но давайте честн...",Быстрый комплект продаж: оффер + 2-3 скрипта + простая CRM/таблица + план касаний (1-2 дня).,12 000-25 000 руб
P013,Landing_Sites,Добрый день! Ищу верстальщика сайтов на WordPress. Нужен срочно исполнитель под текущий проект. Задача...,1,0.40,1.00,0.37,Добрый день! Ищу верстальщика сайтов на WordPress. Нужен срочно исполнитель под текущий проект. Задача - индивидуальная верстка сайта с Figma на WordPress (не шаблон). Только от...,Лендинг: простая страница + форма/квиз + базовая аналитика + интеграция заявок в таблицу (1-2 дня).,15 000-30 000 руб
P014,Landing_Sites,4 ПЕРСОНАЛИЗИРОВАННЫЕ ВОРОНКИ ЗА 7 ДНЕЙ Самое болезненное для большинства спецов: «Лью трафик и...,1,0.40,1.00,0.36,"4 ПЕРСОНАЛИЗИРОВАННЫЕ ВОРОНКИ ЗА 7 ДНЕЙ Самое болезненное для большинства спецов: «Лью трафик и не окупается», «Сливаю бюджет». Вы тестируете 1-2 связки, потому что делать больш...",Лендинг: простая страница + форма/квиз + базовая аналитика + интеграция заявок в таблицу (1-2 дня).,15 000-30 000 руб
P015,Bots_TG_WA_VK,"ищу чатботы Добрый день! Ищу тех.специалиста, который сможет сделать чат бот, с искусственным интеллектом...",1,0.25,1.00,0.72,"ищу чатботы Добрый день! Ищу тех.специалиста, который сможет сделать чат бот, с искусственным интеллектом (отвечает на сообщения клиенту) Напишите в лс, пожалуйста","Мини-бот: меню/кнопки, прием заявок, уведомление админу, передача менеджеру (1-2 дня).",15 000-25 000 руб (+ поддержка 3 000-7 000 руб/мес)
P016,Parsing_Analytics_Reports,"Решил себе систему собрать, чтобы меньше думать и больше делать Вот сижу с нейронкой...",1,0.25,1.00,0.66,"Решил себе систему собрать, чтобы меньше думать и больше делать Вот сижу с нейронкой вожусь и собираю под себя, благо с дисциплиной у меня все хорошо, если понятно что и как дел...",Парсинг/отчет: выгрузка данных -> Google Sheets + автообновление + 3-5 метрик (1-2 дня).,10 000-20 000 руб
P017,Landing_Sites,ищу ИИ срочно Нужно сделать ИИ видео к завтра вечеру на 35-40 сек. с...,1,1.00,0.50,0.28,ищу ИИ срочно Нужно сделать ИИ видео к завтра вечеру на 35-40 сек. с генерацией персонажа. Формат видео «Приветсвие от Азейрбаджанской женщины в национальном костюме» С озвучкой...,Лендинг: простая страница + форма/квиз + базовая аналитика + интеграция заявок в таблицу (1-2 дня).,15 000-30 000 руб
P018,Landing_Sites,ищу специалистапотильде Нужен срочно специалист по тильде. Помощь с изображениями на сайте. Для связи:...,1,0.35,1.00,0.33,ищу специалистапотильде Нужен срочно специалист по тильде. Помощь с изображениями на сайте. Для связи: [MENTION],Лендинг: простая страница + форма/квиз + базовая аналитика + интеграция заявок в таблицу (1-2 дня).,15 000-30 000 руб
